,cuDNN Baseline,,,,B4 Padded,,,,B4 Memoized,,,,B8 Padded,,,,B8 Memoized,,,,B16 Padded,,,,B16 Memoized,,,,B32 Padded,,,,B32 Memoized,,
, ,MC,,, ,M,C, , ,M,C, , ,M,C, , ,M,C,, ,M,C,, ,M,C,, ,M,C,, ,M,C
Idle,,411,0,,,415,0,,,501,0,,,375,0,,,431,0,,,360,0,,,385,0,,,415,0,,,410,0
DRAM,,507,0,,,540,0,,,480,0,,,475,0,,,440,0,,,450,0,,,400,0,,,515,0,,,490,0
Compute,,0,340,,,0,370,,,0,330,,,0,350,,,0,320,,,0,330,,,0,305,,,0,325,,,0,310
Atomics (compulsory),,0,0,,,0,0,,,0,40,,,0,0,,,0,30,,,0,0,,,0,17,,,0,0,,,0,12
Atomics (conflict),,0,0,,,0,0,,,0,77,,,0,0,,,0,56,,,0,0,,,0,36,,,0,0,,,0,25
Other,,0,578,,,0,585,,,0,534,,,0,500,,,0,465,,,0,480,,,0,427,,,0,605,,,0,553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,918,918,,,955,955,,,981,981,,,850,850,,,871,871,1392,,810,810,1423,,785,785,1569,,930,930,1617,,900,900
