,ResNet-50,,,,,,DRN-26,,,,,,3D ResNet-34,,,,,,DarkNet-53,,,,,,VGG-16,,,,,,DeepCAM,,,,,,Inception,,,,
, ,cuDNN,BrickDL,TorchScript,XLA, , ,cuDNN,BrickDL,TorchScript,XLA,, ,cuDNN,BrickDL,TorchScript,XLA,, ,cuDNN,BrickDL,TorchScript,XLA,, ,cuDNN,BrickDL,TorchScript,XLA, , ,cuDNN,BrickDL,TorchScript,XLA,, ,cuDNN,BrickDL,TorchScript,XLA
cuDNN,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,0,0,0,,,0,0,0,0,,,0,0,0,0
TorchScript,,0,0,0.865,0,,,0,0,0.94,0,,,0,0,0.9,0,,,0,0,0.86,0,,,0,0,0.896,0,,,0,0,0.875,0,,,0,0,0.91,0
TensorFlow XLA,,0,0,0,0.875,,,0,0,0,0.925,,,0,0,0,0.92,,,0,0,0,0.875,,,0,0,0,0.91,,,0,0,0,0.84,,,0,0,0,0.87
DRAM,,0,0.55,0,0,,,0,0.545,0,0,,,0,0.6,0,0,,,0,0.55,0,0,,,0,0.54,0,0,,,0,0.61,0,0,,,0,0.605,0,0
Compute,,0,0.3,0,0,,,0,0.37,0,0,,,0,0.27,0,0,,,0,0.29,0,0,,,0,0.393,0,0,,,0,0.25,0,0,,,0,0.29,0,0
DRAMc,,0.68,0,0,0,,,0.63,0,0,0,,,0.72,0,0,0,,,0.7,0,0,0,,,0.6,0,0,0,,,0.73,0,0,0,,,0.7,0,0,0
Compute1,,0.32,0,0,0,,,0.37,0,0,0,,,0.28,0,0,0,,,0.3,0,0,0,,,0.4,0,0,0,,,0.27,0,0,0,,,0.3,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,955,0.85,955,                                        ,,,955,0.915,955,                                        ,1392,,955,0.87,955,                                        ,,,955,0.84,955,                                        ,,,955,0.933,955,                                        ,,,955,0.86,955,                                        ,1569,,955,0.895,955,                                        
