,cudnn subgraph1,,,,Padded Subgraph1,,,,Memoized Subgraph1,,,,cudnn subgraph2,,,,Padded Subgraph2,,,,Memoized Subgraph2,,,,cudnn subgraph3,,,,Padded Subgraph3,,,,Memoized Subgraph3,,,,cudnn subgraph4,,,,Padded Subgraph4,,,,Memoized Subgraph4,,,,cudnn subgraph5,,,,Padded Subgraph5,,,,Memoized Subgraph5,,,,cudnn subgraph6,,,,Padded Subgraph6,,,,Memoized Subgraph6,,,,cudnn subgraph7,,,,Padded Subgraph7,,,,Memoized Subgraph7,,
, ,M,C, , ,M,C, , ,M,C, , ,M,C, , ,M,C, , ,M,C,, ,M,C, , ,M,C, , ,M,C,, ,M,C, , ,M,C, , ,M,C,, ,M,C, , ,M,C, , ,M,C,, ,M,C, , ,M,C, , ,M,C,, ,M,C, , ,M,C, , ,M,C
Idle,,0.22,0,,,0.2,0,,,0.25,0,,,0.25,0,,,0.22,0,,,0.26,0,,,0.3,0,,,0.27,0,,,0.26,0,,,0.32,0,,,0.27,0,,,0.27,0,,,0.3,0,,,0.26,0,,,0.27,0,,,0.38,0,,,0.36,0,,,0.34,0,,,0.4,0,,,0.36,0,,,0.32,0
DRAM,,0.78,0,,,0.58,0,,,0.57,0,,,0.75,0,,,0.58,0,,,0.57,0,,,0.7,0,,,0.62,0,,,0.58,0,,,0.68,0,,,0.61,0,,,0.56,0,,,0.7,0,,,0.64,0,,,0.58,0,,,0.62,0,,,0.58,0,,,0.55,0,,,0.6,0,,,0.59,0,,,0.58,0
Compute,,0,0.18,,,0,0.14,,,0,0.155,,,0,0.23,,,0,0.17,,,0,0.18,,,0,0.26,,,0,0.23,,,0,0.21,,,0,0.27,,,0,0.24,,,0,0.2,,,0,0.26,,,0,0.23,,,0,0.21,,,0,0.32,,,0,0.32,,,0,0.3,,,0,0.35,,,0,0.3,,,0,0.28
Atomics (compulsory),,0,0,,,0,0,,,0,0.02,,,0,0,,,0,0,,,0,0.017,,,0,0,,,0,0,,,0,0.013,,,0,0,,,0,0,,,0,0.011,,,0,0,,,0,0,,,0,0.012,,,0,0,,,0,0,,,0,0.007,,,0,0,,,0,0,,,0,0.007
Atomics (conflict),,0,0,,,0,0,,,0,0.045,,,0,0,,,0,0,,,0,0.036,,,0,0,,,0,0,,,0,0.022,,,0,0,,,0,0,,,0,0.02,,,0,0,,,0,0,,,0,0.021,,,0,0,,,0,0,,,0,0.013,,,0,0,,,0,0,,,0,0.012
Other,,0,0.82,,,0,0.64,,,0,0.6,,,0,0.77,,,0,0.63,,,0,0.597,,,0,0.74,,,0,0.66,,,0,0.595,,,0,0.73,,,0,0.64,,,0,0.599,,,0,0.74,,,0,0.67,,,0,0.607,,,0,0.68,,,0,0.62,,,0,0.57,,,0,0.65,,,0,0.65,,,0,0.601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,1,1,,,0.78,0.78,,,0.82,0.82,,,1,1,,,0.8,0.8,,,0.83,0.83,,,1,1,,,0.89,0.89,,,0.84,0.84,,,1,1,,,0.88,0.88,,,0.83,0.83,,,1,1,,,0.9,0.9,,,0.85,0.85,,,1,1,,,0.94,0.94,,,0.89,0.89,,,1,1,,,0.95,0.95,,,0.9,0.9
